Timestamp,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Load","GPU Temp"
17/12/2020 20:43:41 PM,95.00°F,91.40°F,93.20°F,93.20°F,95.00°F,21%,104.00°F
17/12/2020 20:43:46 PM,93.20°F,93.20°F,96.80°F,93.20°F,96.80°F,15%,104.00°F
17/12/2020 20:43:51 PM,104.00°F,100.40°F,105.80°F,102.20°F,105.80°F,39%,104.00°F
17/12/2020 20:43:56 PM,93.20°F,95.00°F,100.40°F,95.00°F,100.40°F,44%,104.00°F
17/12/2020 20:44:01 PM,93.20°F,91.40°F,91.40°F,93.20°F,95.00°F,22%,104.00°F
17/12/2020 20:44:06 PM,91.40°F,91.40°F,96.80°F,93.20°F,96.80°F,22%,104.00°F
17/12/2020 20:44:11 PM,95.00°F,96.80°F,96.80°F,95.00°F,98.60°F,32%,104.00°F
17/12/2020 20:44:16 PM,95.00°F,93.20°F,93.20°F,91.40°F,95.00°F,23%,104.00°F
17/12/2020 20:44:21 PM,96.80°F,95.00°F,93.20°F,95.00°F,98.60°F,32%,104.00°F
17/12/2020 20:44:26 PM,91.40°F,93.20°F,100.40°F,95.00°F,100.40°F,30%,104.00°F
17/12/2020 20:44:31 PM,98.60°F,93.20°F,91.40°F,96.80°F,96.80°F,27%,104.00°F
17/12/2020 20:44:36 PM,91.40°F,91.40°F,95.00°F,91.40°F,95.00°F,29%,104.00°F
17/12/2020 20:44:41 PM,96.80°F,98.60°F,102.20°F,98.60°F,102.20°F,30%,104.00°F
17/12/2020 20:44:46 PM,98.60°F,98.60°F,95.00°F,96.80°F,98.60°F,25%,104.00°F
17/12/2020 20:44:51 PM,95.00°F,95.00°F,100.40°F,96.80°F,100.40°F,20%,104.00°F
17/12/2020 20:44:56 PM,93.20°F,89.60°F,96.80°F,93.20°F,96.80°F,28%,104.00°F
17/12/2020 20:45:01 PM,93.20°F,93.20°F,93.20°F,91.40°F,96.80°F,24%,104.00°F
17/12/2020 20:45:06 PM,95.00°F,93.20°F,89.60°F,91.40°F,95.00°F,25%,104.00°F
17/12/2020 20:45:11 PM,89.60°F,91.40°F,89.60°F,87.80°F,95.00°F,21%,104.00°F
17/12/2020 20:45:16 PM,91.40°F,89.60°F,89.60°F,89.60°F,95.00°F,25%,104.00°F
17/12/2020 20:45:21 PM,98.60°F,100.40°F,100.40°F,102.20°F,100.40°F,46%,104.00°F
17/12/2020 20:45:26 PM,104.00°F,98.60°F,105.80°F,95.00°F,105.80°F,35%,104.00°F
17/12/2020 20:45:31 PM,105.80°F,105.80°F,107.60°F,102.20°F,107.60°F,61%,104.00°F
17/12/2020 20:45:36 PM,104.00°F,100.40°F,107.60°F,98.60°F,107.60°F,27%,104.00°F
17/12/2020 20:45:41 PM,98.60°F,104.00°F,102.20°F,102.20°F,102.20°F,43%,104.00°F
17/12/2020 20:45:46 PM,93.20°F,95.00°F,91.40°F,95.00°F,96.80°F,23%,104.00°F
17/12/2020 20:45:51 PM,100.40°F,98.60°F,100.40°F,96.80°F,100.40°F,34%,104.00°F
17/12/2020 20:45:56 PM,95.00°F,95.00°F,98.60°F,95.00°F,98.60°F,19%,104.00°F
17/12/2020 20:46:01 PM,95.00°F,93.20°F,93.20°F,91.40°F,96.80°F,27%,104.00°F
